Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2022-06-17,FINRA / Nasdaq TRF Chicago (DB),7927647,2706520,11223103,21857270,290456127.639200,140514208.530800,661996295.882800,1092966632.052800,35957,12477,49922,98356
2022-06-17,FINRA / NYSE TRF (DN),294228664,146825874,440492955,881547493,8940655887.010497,5999655244.725000,15111816097.007694,30052127228.743191,1506567,341217,1557746,3405530
2022-06-17,FINRA / Nasdaq TRF Carteret (DQ),2178176052,1046880472,2336066701,5561123225,86073666255.428810,61414365922.784381,97140034516.783546,244628066694.996737,8729853,2615096,7432450,18777399
2022-06-17,MIAX Pearl (H),59170343,37278202,36319487,132768032,1271503770.779800,1841190596.211199,1220750127.140700,4333444494.131699,469147,181153,351330,1001630
2022-06-17,EDGA Equities (J),103783646,49491565,77989713,231264924,3397043874.617700,2706537755.680801,3034977898.300400,9138559528.598901,1392233,382048,1036194,2810475
2022-06-17,EDGX Equities (K),322385902,130726412,302116491,755228805,10159448930.212694,7693469297.558304,11724544089.386594,29577462317.157592,2903298,808573,2317445,6029316
2022-06-17,LTSE (L),27472,20103,28318,75893,2246801.900000,1483277.850000,628268.079600,4358347.829600,295,5,344,644
2022-06-17,NYSE Chicago (M),15029807,14689708,15345890,45065405,920296055.958200,1522405079.121600,2550304516.410099,4993005651.489899,71442,6905,54117,132464
2022-06-17,NYSE (N),3379180757,60484625,106096630,3545762012,151200373165.061000,3932598153.737399,3929529388.120700,159062500706.919099,6625814,322285,887002,7835101
2022-06-17,NYSE Arca (P),365380264,469827860,419819991,1255028115,13561071249.562007,28764959599.859092,18867590640.937002,61193621490.358101,3742755,2085940,4026590,9855285
2022-06-17,NASDAQ (Q),727156933,300861969,2914074996,3942093898,29145599087.770799,20208863250.910103,126748544330.198315,176103006668.879217,9496378,2267126,11698263,23461767
2022-06-17,Members Exchange (U),244598302,118513608,184229219,547341129,6147020060.335800,6616066183.628800,5657522266.237499,18420608510.202099,2038351,702667,1608543,4349561
